TC ,,productTitle,bodyHtml,vendor,product_type,status,published_scope,handle,published_at,template_suffix,option1Name,option2Name,option3Name,option4Name,option1Value,option2Value,option3Value,optionsArray
1,Normal case: Status code : 201 and Json schema is valid ,Ten san pham A,<strong>Good snowboard!</strong>,Ten nha cung cap ,Phan loai san pham ,active,,,,,,,,,,,,
2,"Verify that the ""Title"" returns a response the same as the request ",TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Ten,,,,active,,,,,,,,,,,,
3,Title is blank ,,,,,active,,,,,,,,,,,,
4,Title is greater than 255 characters,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tenn,,,,active,,,,,,,,,,,,
5,"Verify that the Body_html returns response the same as the request, including HTML tag ",Ten san pham B,<strong>Good snowboard!</strong>,,,active,,,,,,,,,,,,
6,Body_html is blank ,Ten san pham C,,,,active,,,,,,,,,,,,
7,Verify that the Vendor returns response the same as the request,Ten san pham D,,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Ten,,active,,,,,,,,,,,,
8,Vendor is blank ,Ten san pham E,,,,active,,,,,,,,,,,,
9,Vendor is greater than 255 characters,Ten san pham F,,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tenn,,active,,,,,,,,,,,,
10,Verify that the product_type returns the response the same as the request ,Ten san pham G,,,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Ten,active,,,,,,,,,,,,
11,Product_title is blank ,Ten san pham H,,,,active,,,,,,,,,,,,
12,Product_title is is greater than 255 characters,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tenn,,,,active,,,,,,,,,,,,
13,Verify that the status returns 'draft' the same as in the request ,Ten san pham J,,,,draft,,,,,,,,,,,,
14,Verify that the status returns 'archived' the same as in the request ,Ten san pham K,,,,archived,,,,,,,,,,,,
15,Verify that the status returns 'active' the same as in the request ,Ten san pham N,,,,active,,,,,,,,,,,,
16,Verify that the status returns an errors message when the request body contains an invalid value ,Ten san pham M,,,,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tenn,,,,,,,,,,,,
17,Status is blank ,Ten san pham L,,,,,,,,,,,,,,,,
18,Verify that the request body 'handle' is the same as the previously generated 'handle',Ten san pham N,,,,active,,burton-custom-freestyle-182,,,,,,,,,,
